run,fold,noise,combiner,weights
main:alexnet_epoch01,5,all,Frh,"[0.3815169265358978, 0.3638146455359663, 0.5815755400297618]"
main:alexnet_epoch10,1,all,F0,[0.9994638341234298]
main:alexnet_epoch10,1,all,Fr,"[0.48808485512037003, 0.46629524418209733]"
main:alexnet_epoch10,1,all,Fhp,"[0.7895537300582414, 0.576678321030459]"
main:alexnet_epoch10,1,all,Frhp,"[0.3556923516077122, 0.3455374646507279, 0.519428027394006]"
main:alexnet_epoch10,1,all,Fh,"[0.8702743166050483, 0.6915215395657772]"
main:alexnet_epoch10,1,all,Frh,"[0.41071635101158405, 0.37789799672185587, 0.5986412859274886]"
main:alexnet_epoch10,2,all,F0,[0.9992907834325138]
main:alexnet_epoch10,2,all,Fr,"[0.4887442043855771, 0.46621348626442577]"
main:alexnet_epoch10,2,all,Fhp,"[0.7315642490508993, 0.5428027835320365]"
main:alexnet_epoch10,2,all,Frhp,"[0.32880428404552187, 0.3297314032639205, 0.47923439865399536]"
main:alexnet_epoch10,2,all,Fh,"[0.8485978013323137, 0.676027511485397]"
main:alexnet_epoch10,2,all,Frh,"[0.4019526533756212, 0.37160753868799423, 0.565614356359913]"
main:alexnet_epoch10,3,all,F0,[0.997867277271413]
main:alexnet_epoch10,3,all,Fr,"[0.47429927509405356, 0.46341977914034316]"
main:alexnet_epoch10,3,all,Fhp,"[0.7076852031383927, 0.5606067861690471]"
main:alexnet_epoch10,3,all,Frhp,"[0.29273796591563594, 0.34300443593783647, 0.509832229991755]"
main:alexnet_epoch10,3,all,Fh,"[0.8325338428505308, 0.685306070684235]"
main:alexnet_epoch10,3,all,Frh,"[0.3793497647534546, 0.37962777853694785, 0.5932766598775325]"
main:alexnet_epoch10,4,all,F0,[1.007827800788632]
main:alexnet_epoch10,4,all,Fr,"[0.5011058705762876, 0.454109387840839]"
main:alexnet_epoch10,4,all,Fhp,"[0.7682223827341126, 0.5497567933744508]"
main:alexnet_epoch10,4,all,Frhp,"[0.3447754506607874, 0.32847627722755246, 0.49528149715649955]"
main:alexnet_epoch10,4,all,Fh,"[0.8737243861620666, 0.6825832709336086]"
main:alexnet_epoch10,4,all,Frh,"[0.4092688718587051, 0.36906742764015693, 0.5913729699735462]"
main:alexnet_epoch10,5,all,F0,[0.9981936241971183]
main:alexnet_epoch10,5,all,Fr,"[0.47313947405964407, 0.4779452117561126]"
main:alexnet_epoch10,5,all,Fhp,"[0.7220889593045672, 0.5480198542786006]"
main:alexnet_epoch10,5,all,Frhp,"[0.3122211487130093, 0.34769270715160905, 0.4831932667940631]"
main:alexnet_epoch10,5,all,Fh,"[0.8372139837649246, 0.6785637215252129]"
main:alexnet_epoch10,5,all,Frh,"[0.3770509520195356, 0.39026000975532327, 0.5694129442551481]"
main:densenet161_baseline,1,all,F0,[0.634459105864744]
main:densenet161_baseline,1,all,Fr,"[0.5622160938678146, 0.07694672127564722]"
main:densenet161_baseline,1,all,Fhp,"[0.3065775858983034, 0.6913108419733447]"
main:densenet161_baseline,1,all,Frhp,"[0.24279336659411282, 0.06578732532226034, 0.6896670895968668]"
main:densenet161_baseline,1,all,Fh,"[0.38250349696776414, 0.8355128306909156]"
main:densenet161_baseline,1,all,Frh,"[0.3346447880329448, 0.05490864721145758, 0.8363501596314225]"
main:densenet161_baseline,2,all,F0,[0.6532763062077837]
main:densenet161_baseline,2,all,Fr,"[0.5881415950255591, 0.06906687480140017]"
main:densenet161_baseline,2,all,Fhp,"[0.3173181918428987, 0.6804940419807948]"
main:densenet161_baseline,2,all,Frhp,"[0.2836106440287378, 0.03491285016378573, 0.6792896727869955]"
main:densenet161_baseline,2,all,Fh,"[0.39320975389993507, 0.8279488239094923]"
main:densenet161_baseline,2,all,Frh,"[0.35454262014194804, 0.04356052302416712, 0.8286291429867926]"
main:densenet161_baseline,3,all,F0,[0.6532218687794425]
main:densenet161_baseline,3,all,Fr,"[0.5806559306462887, 0.07619964349470168]"
main:densenet161_baseline,3,all,Fhp,"[0.31345597149779186, 0.6848688208098137]"
