forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq
"F(a, h) individual",110,0.2,0.3,520,0.24997457283403976,0.275
"F(a, h) individual",110,0.3,0.4,322,0.3515134288031494,0.36645962732919257
"F(a, h) individual",110,0.4,0.5,321,0.44925852255414206,0.43613707165109034
"F(a, h) individual",110,0.5,0.6,249,0.5528123679657978,0.5582329317269076
"F(a, h) individual",110,0.6,0.7,254,0.6513740150280616,0.6220472440944882
"F(a, h) individual",110,0.7,0.8,255,0.7531443345067473,0.7137254901960784
"F(a, h) individual",110,0.8,0.9,434,0.8532353542744855,0.8410138248847926
"F(a, h) individual",110,0.9,0.95,396,0.929287434625635,0.9419191919191919
"F(a, h) individual",110,0.95,1.0,3442,0.9814146415335352,0.9933178384660082
"F(a, h) individual",125,0.0,0.01,66567,0.0018566667025327838,0.0009313924316853696
"F(a, h) individual",125,0.01,0.02,4577,0.01431831806272033,0.01507537688442211
"F(a, h) individual",125,0.02,0.05,4625,0.03202803685436237,0.032432432432432434
"F(a, h) individual",125,0.05,0.1,2593,0.07040645679482156,0.07558812186656383
"F(a, h) individual",125,0.1,0.2,1970,0.14051139213213157,0.13807106598984772
"F(a, h) individual",125,0.2,0.3,963,0.24552160281641952,0.2720664589823468
"F(a, h) individual",125,0.3,0.4,530,0.3478395024992514,0.37169811320754714
"F(a, h) individual",125,0.4,0.5,432,0.4501951430065259,0.44212962962962965
"F(a, h) individual",125,0.5,0.6,424,0.5493096730425825,0.5683962264150944
"F(a, h) individual",125,0.6,0.7,359,0.6521097009566025,0.6545961002785515
"F(a, h) individual",125,0.7,0.8,449,0.7508340531137296,0.7238307349665924
"F(a, h) individual",125,0.8,0.9,537,0.8515550426716492,0.8175046554934823
"F(a, h) individual",125,0.9,0.95,470,0.9281713350413914,0.948936170212766
"F(a, h) individual",125,0.95,1.0,2368,0.9794890074144543,0.9898648648648649
"F(a, h) pooled",80,0.0,0.01,13039,0.0012276980053681815,0.00023007899378786717
"F(a, h) pooled",80,0.01,0.02,176,0.014238388160705185,0.011363636363636364
"F(a, h) pooled",80,0.02,0.05,127,0.03133093002498736,0.023622047244094488
"F(a, h) pooled",80,0.05,0.1,73,0.06970926944897711,0.0410958904109589
"F(a, h) pooled",80,0.1,0.2,49,0.14350143797154594,0.14285714285714285
