noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq,forecast
95,0.05,0.1,13,0.06282793155801034,0.23076923076923078,"F(a, h) pooled"
95,0.1,0.2,13,0.14075372130664981,0.15384615384615385,"F(a, h) pooled"
95,0.2,0.3,9,0.249076271459299,0.2222222222222222,"F(a, h) pooled"
95,0.3,0.4,7,0.3330415906687489,0.2857142857142857,"F(a, h) pooled"
95,0.4,0.5,3,0.4435132910739083,0.0,"F(a, h) pooled"
95,0.5,0.6,4,0.5196431581018458,1.0,"F(a, h) pooled"
95,0.6,0.7,7,0.6633527206717849,0.8571428571428571,"F(a, h) pooled"
95,0.7,0.8,6,0.7569893473719985,0.6666666666666666,"F(a, h) pooled"
95,0.8,0.9,6,0.8487893690501371,0.6666666666666666,"F(a, h) pooled"
95,0.9,0.95,16,0.9267189335872028,0.9375,"F(a, h) pooled"
95,0.95,1.0,228,0.9829993721970203,1.0,"F(a, h) pooled"
110,0.0,0.01,3834,0.0012590533373521414,0.0002608242044861763,"F(a, h) pooled"
110,0.01,0.02,75,0.014516840999678982,0.013333333333333334,"F(a, h) pooled"
110,0.02,0.05,48,0.031873301217249836,0.020833333333333332,"F(a, h) pooled"
110,0.05,0.1,40,0.07035227094344054,0.025,"F(a, h) pooled"
110,0.1,0.2,28,0.14031290944855057,0.21428571428571427,"F(a, h) pooled"
110,0.2,0.3,15,0.25176623263083214,0.26666666666666666,"F(a, h) pooled"
110,0.3,0.4,9,0.35802504192592305,0.1111111111111111,"F(a, h) pooled"
110,0.4,0.5,9,0.4440550521042676,0.6666666666666666,"F(a, h) pooled"
110,0.5,0.6,11,0.5297811864419392,0.45454545454545453,"F(a, h) pooled"
110,0.6,0.7,7,0.641779823714654,0.8571428571428571,"F(a, h) pooled"
110,0.7,0.8,8,0.7442781298872172,0.75,"F(a, h) pooled"
110,0.8,0.9,22,0.8587207085072154,0.8181818181818182,"F(a, h) pooled"
110,0.9,0.95,11,0.9272987551527305,1.0,"F(a, h) pooled"
110,0.95,1.0,203,0.9825104560756469,1.0,"F(a, h) pooled"
125,0.0,0.01,3538,0.0014680359203542031,0.0011305822498586771,"F(a, h) pooled"
125,0.01,0.02,140,0.01426900042008921,0.014285714285714285,"F(a, h) pooled"
125,0.02,0.05,157,0.032918558962753655,0.03821656050955414,"F(a, h) pooled"
125,0.05,0.1,99,0.0735368475294347,0.08080808080808081,"F(a, h) pooled"
125,0.1,0.2,80,0.1386097140584409,0.2,"F(a, h) pooled"
125,0.2,0.3,23,0.24427537896667897,0.30434782608695654,"F(a, h) pooled"
125,0.3,0.4,30,0.3515059495763318,0.26666666666666666,"F(a, h) pooled"
125,0.4,0.5,16,0.44980309789695094,0.3125,"F(a, h) pooled"
125,0.5,0.6,10,0.5654446517341072,0.7,"F(a, h) pooled"
125,0.6,0.7,10,0.6446407825009446,0.6,"F(a, h) pooled"
125,0.7,0.8,20,0.7374181205779328,0.65,"F(a, h) pooled"
125,0.8,0.9,28,0.8541382418518972,0.8214285714285714,"F(a, h) pooled"
